Athlète,Ligue,Performance,Naissance,Catégorie,time_delta,time_gap,duration,Nom,Prénom
KEBEDE Fikadu,0,IA,1987,M0F,0 days 02:08:45,0 days 00:00:00,7725.000000000001,KEBEDE,Fikadu
BAYISA Tesema,0,N4,1997,SEM,0 days 02:25:12,0 days 00:16:27,8712.0,BAYISA,Tesema
RINGARD Clement,0,IR3,1986,M0M,0 days 02:26:48,0 days 00:18:03,8808.0,RINGARD,Clement
DE BARROS,0,IR3,1993,SEM,0 days 02:37:07,0 days 00:28:22,9427.0,DE,BARROS
JOURDAIN Arnaud,0,IR4,1995,SEM,0 days 02:39:32,0 days 00:30:47,9572.0,JOURDAIN,Arnaud
MITSLER Steven,0,IR4,1990,SEM,0 days 02:42:40,0 days 00:33:55,9760.0,MITSLER,Steven
CHANCELIER Tristan,0,IR4,1993,SEM,0 days 02:42:43,0 days 00:33:58,9763.0,CHANCELIER,Tristan
DESPEIGNES Erwan,0,IR4,1973,M3M,0 days 02:43:03,0 days 00:34:18,9783.0,DESPEIGNES,Erwan
BRUNET Frederic,0,R1,1991,SEM,0 days 02:43:56,0 days 00:35:11,9836.0,BRUNET,Frederic
QUERE Julien,0,R1,1997,SEM,0 days 02:44:24,0 days 00:35:39,9864.0,QUERE,Julien
DOMET Florian,ARA,R1,1994,SEM,0 days 02:46:41,0 days 00:37:56,10001.0,DOMET,Florian
PERRIOUX Jocelyn,0,R1,1989,SEM,0 days 02:46:55,0 days 00:38:10,10015.0,PERRIOUX,Jocelyn
GUILLE Nicolas,PCA,R1,1991,SEM,0 days 02:47:03,0 days 00:38:18,10023.0,GUILLE,Nicolas
DURAND Yoan,0,R2,1997,SEM,0 days 02:48:02,0 days 00:39:17,10082.0,DURAND,Yoan
RINGARD Geoffrey,PCA,R2,1972,M3M,0 days 02:49:41,0 days 00:40:56,10181.0,RINGARD,Geoffrey
VANEL Alexandre,0,R2,1979,M1M,0 days 02:50:32,0 days 00:41:47,10232.0,VANEL,Alexandre
DARFEUILLE Sebastien,0,R2,1979,M1M,0 days 02:51:12,0 days 00:42:27,10272.0,DARFEUILLE,Sebastien
PERRAUD Julien,0,R2,1992,SEM,0 days 02:51:14,0 days 00:42:29,10274.0,PERRAUD,Julien
CANNONE Robin,0,R3,1971,M3M,0 days 02:52:39,0 days 00:43:54,10359.0,CANNONE,Robin
FERREIRA Joseph,NOR,R3,1987,M0M,0 days 02:54:17,0 days 00:45:32,10457.0,FERREIRA,Joseph
JARDIN Thomas,OCC,R3,1974,M2M,0 days 02:54:30,0 days 00:45:45,10470.0,JARDIN,Thomas
GUILLERM Pierre,PCA,R3,1994,SEM,0 days 02:54:59,0 days 00:46:14,10499.0,GUILLERM,Pierre
DEYIRMENDJIAN Nicolas,0,R3,1980,M1M,0 days 02:56:12,0 days 00:47:27,10572.0,DEYIRMENDJIAN,Nicolas
DELCOURT Wilfried,0,R3,1977,M2M,0 days 02:57:10,0 days 00:48:25,10630.0,DELCOURT,Wilfried
